video_id,like_count_mean,like_count_sum,like_count_std,comment_length_mean,comment_length_std,word_count_mean,word_count_std,total_reply_count_sum
2LR8N2ko6a8,24.07,722,56.92,70.97,54.54,13.3,10.58,15
2nBlXHXlvto,4.7,47,8.81,35.5,24.55,7.3,5.01,3
3-11fooOoLM,6.22,112,10.14,102.56,200.03,19.28,37.55,5
34ehGQMt5l4,1.38,22,1.71,67.25,56.84,13.25,11.23,0
38h0Zuw3cv4,11.07,332,33.07,62.43,52.5,10.53,9.67,8
3D4JB8LzBC8,362.0,10860,980.12,93.5,118.81,16.7,20.57,56
3JTknUk8YIE,54.63,1639,161.49,93.53,94.19,17.17,17.3,12
3KLE_xwbGqg,66.5,1995,190.66,142.23,220.59,23.87,33.35,26
3LXUVa4ugwc,123.8,3714,323.51,74.03,59.38,13.4,11.32,37
3NdH1pdQVhE,510.27,15308,1401.64,71.43,67.35,13.33,12.98,57
3Uuwe4BxYJE,9.92,238,32.56,76.75,69.51,14.12,13.35,10
3Y8VXWUIcaw,1.43,10,2.57,84.71,68.59,16.86,14.84,0
3bamBYQS8io,9.6,288,18.81,199.53,288.83,36.6,49.05,7
3monI2ExCJU,45.6,1368,181.24,196.83,144.81,35.77,27.47,20
3rCj_u5mmtE,1.17,7,2.4,103.17,151.36,20.83,30.49,0
3r_jpt04M68,3.43,96,7.89,88.32,112.56,15.96,19.67,3
3wuVuqgu45M,4.25,85,11.21,43.6,52.56,8.35,9.73,2
41CbOHhx8b8,3.82,42,8.49,98.82,66.37,18.91,12.61,4
43swgRhxbmk,22.37,671,45.94,223.97,180.12,40.07,31.3,7
47pP4Y9J_h4,2.75,55,4.28,86.4,81.12,15.75,15.24,2
4LN1eqJcTaU,3.5,91,8.74,129.69,106.97,23.31,18.49,6
4QtYOmblLOY,40.13,1204,76.32,114.97,81.5,20.67,15.63,21
4V2ZwgJw62I,86.53,2596,171.46,164.13,180.5,29.53,33.01,35
4aYVLpY5FYU,96.87,2906,353.7,159.43,180.29,29.83,34.62,58
4cYeHxVLqZ8,3.5,49,5.14,75.93,39.91,13.57,7.07,2
4dC80qM-vck,2.92,35,4.29,137.75,103.73,26.75,20.35,0
4f7iiu5ck8U,233.23,6997,592.67,107.07,159.31,20.13,29.66,65
4mTfkDkIo4s,24.87,746,52.51,53.03,50.08,8.83,6.78,18
4okyc5CQYfU,4.88,39,9.98,41.75,35.4,7.75,5.34,0
5-YXQ9LcEjQ,65.7,1971,209.83,101.8,98.91,18.0,16.87,29
5791L8VEHZw,139.67,4190,273.38,63.83,66.87,11.63,11.13,41
58BHUsD24vs,39.13,1174,111.64,141.1,203.12,25.33,35.07,22
5FPuHYY7VPc,24.0,720,46.22,205.37,147.09,37.97,27.06,2
5FgvGQXfV10,486.6,14598,1223.34,48.67,76.35,8.3,14.7,88
5JTNftIJxl4,0.4,2,0.89,121.2,125.0,22.2,25.7,3
5Nin1OtjOlU,447.33,13420,1275.95,151.97,169.46,27.67,31.53,90
5Rqiba5mqLk,58.43,1753,134.76,402.33,854.12,75.0,159.42,44
5ZuUYititDU,90.93,2728,293.46,72.3,82.56,13.07,14.86,42
5bJ1aKd7xL8,9.33,280,22.73,38.2,43.67,7.47,8.57,12
5gT0x0EO9_8,98.23,2947,349.9,80.67,71.94,14.07,12.78,68
5k3uMaJN4IU,2.86,20,2.27,153.29,304.71,27.71,52.49,0
5sKPaDmcJH0,138.6,4158,315.33,50.57,46.82,9.47,8.95,39
5tEPfbrHRl4,18.87,566,50.34,57.2,39.23,10.17,6.2,9
5wDfRwAmIVY,268.37,8051,481.96,58.23,57.45,10.07,9.92,52
5xGGVv60rq8,2.63,79,6.37,58.9,56.67,11.2,9.97,6
66G7TnkdMd8,19.53,586,32.62,138.47,145.16,24.63,27.37,7
6Dvkq5yAvcA,64.53,1936,150.13,195.73,325.66,36.63,58.98,23
6Fa5f9_4Oi4,61.47,1844,167.72,81.27,66.43,14.33,11.37,22
6Mo7xB4SNsc,3.41,58,6.41,115.12,107.68,21.35,19.95,2
6P5zJv5qzxU,4.11,74,10.06,70.28,97.44,13.5,16.03,3
6T-mgthXWzM,18.73,562,52.5,185.97,162.05,34.0,29.69,9
6cSI6b6qPSg,1.0,7,1.91,18.71,12.93,4.0,2.89,2
6cXQ6zk0Nrk,94.97,2849,266.11,135.1,180.98,25.17,33.54,60
6ltK8OaFyy4,5.23,157,13.18,144.3,102.39,26.23,18.56,1
6m5vC3o2tRQ,939.17,28175,2781.85,65.2,69.78,11.23,11.77,150
6o2tm00Ar8A,574.23,17227,1591.16,100.57,83.78,17.33,15.7,123
6vz3ift4RAM,46.07,1382,142.23,84.8,50.09,15.17,8.75,9
6x1i0K4Eg1g,46.57,1397,120.2,91.13,77.04,16.2,13.93,22
76yqErAib5g,711.37,21341,2870.04,107.6,178.11,18.9,31.72,238
